id,titolo_breve,production_id,dcTitle,from,to,datetext,luogo_nome,luogo_id,edificio_nome,edificio_id,composizione_nome,composizione_id,fullpath
57176,The Rake's Progress,,The Rake's Progress,1999-01-07,1999-01-07,07/01/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,"1951 The Rake's Progress - La carriera del libertino, op. 5",69446,/Recite/07-01-1999 The Rake's Progress (57176)
57177,The Rake's Progress,,The Rake's Progress,1999-01-10,1999-01-10,10/01/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,"1951 The Rake's Progress - La carriera del libertino, op. 5",69446,/Recite/10-01-1999 The Rake's Progress (57177)
57178,Così fan tutte,,Così fan tutte,1999-02-22,1999-02-22,22/02/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,"1790 Così fan tutte ossia La scuola degli amanti, K 588",69351,/Recite/22-02-1999 Così fan tutte (57178)
57179,Così fan tutte,,Così fan tutte,1999-02-23,1999-02-23,23/02/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,"1790 Così fan tutte ossia La scuola degli amanti, K 588",69351,/Recite/23-02-1999 Così fan tutte (57179)
57180,Werther,,Werther,1999-03-24,1999-03-24,24/03/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,1885 - 1887 Werther,69348,/Recite/24-03-1999 Werther (57180)
57181,Werther,,Werther,1999-03-26,1999-03-26,26/03/1999,Reggio Emilia,1911,Teatro Municipale Valli,8715,1885 - 1887 Werther,69348,/Recite/26-03-1999 Werther (57181)
57182,Werther,,Werther,1999-03-28,1999-03-28,28/03/1999,Reggio Emilia,1911,Teatro Municipale Valli,8715,1885 - 1887 Werther,69348,/Recite/28-03-1999 Werther (57182)
57183,La gatta Cenerentola,,La gatta Cenerentola,1998-10-29,1998-10-29,29/10/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/29-10-1998 La gatta Cenerentola (57183)
57184,La gatta Cenerentola,,La gatta Cenerentola,1998-10-30,1998-10-30,30/10/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/30-10-1998 La gatta Cenerentola (57184)
57185,La gatta Cenerentola,,La gatta Cenerentola,1998-10-31,1998-10-31,31/10/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/31-10-1998 La gatta Cenerentola (57185)
57186,La gatta Cenerentola,,La gatta Cenerentola,1998-11-01,1998-11-01,01/11/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/01-11-1998 La gatta Cenerentola (57186)
57187,"24-11-1998 Aterballetto.
Trittico per Leopardi",,"Aterballetto.
Trittico per Leopardi",1998-11-24,1998-11-24,24/11/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,,,"/Recite/24-11-1998 Aterballetto.
Trittico per Leopardi (57187)"
57188,Sylvie Guillem e Jonathan Cope con Aterballetto,,Sylvie Guillem e Jonathan Cope con Aterballetto,1999-06-02,1999-06-02,02/06/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/02-06-1999 Sylvie Guillem e Jonathan Cope con Aterballetto (57188)
57189,Hollywood. Ritratto di un divo,,Hollywood. Ritratto di un divo,1999-11-18,1999-11-18,18/11/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,Hollywood,69456,/Recite/18-11-1999 Hollywood. Ritratto di un divo (57189)
57190,Hollywood. Ritratto di un divo,,Hollywood. Ritratto di un divo,1999-11-19,1999-11-19,19/11/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,Hollywood,69456,/Recite/19-11-1999 Hollywood. Ritratto di un divo (57190)
57191,Hollywood. Ritratto di un divo,,Hollywood. Ritratto di un divo,1999-11-20,1999-11-20,20/11/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,Hollywood,69456,/Recite/20-11-1999 Hollywood. Ritratto di un divo (57191)
57192,Hollywood. Ritratto di un divo,,Hollywood. Ritratto di un divo,1999-11-21,1999-11-21,21/11/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,Hollywood,69456,/Recite/21-11-1999 Hollywood. Ritratto di un divo (57192)
57193,Il gabbiano,,Il gabbiano,1999-12-03,1999-12-03,03/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/03-12-1999 Il gabbiano (57193)
57194,Il gabbiano,,Il gabbiano,1999-12-04,1999-12-04,04/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/04-12-1999 Il gabbiano (57194)
57195,Il gabbiano,,Il gabbiano,1999-12-05,1999-12-05,05/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/05-12-1999 Il gabbiano (57195)
57196,Il ritorno a casa,,Il ritorno a casa,1999-12-15,1999-12-15,15/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/15-12-1999 Il ritorno a casa (57196)
57197,Il ritorno a casa,,Il ritorno a casa,1999-12-16,1999-12-16,16/12/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/16-12-1999 Il ritorno a casa (57197)
57198,Caterina di Heilbronn o La prova del fuoco,,Caterina di Heilbronn o La prova del fuoco,1998-11-12,1998-11-12,12/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/12-11-1998 Caterina di Heilbronn o La prova del fuoco (57198)
57199,Caterina di Heilbronn o La prova del fuoco,,Caterina di Heilbronn o La prova del fuoco,1998-11-13,1998-11-13,13/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/13-11-1998 Caterina di Heilbronn o La prova del fuoco (57199)
57200,Caterina di Heilbronn o La prova del fuoco,,Caterina di Heilbronn o La prova del fuoco,1998-11-14,1998-11-14,14/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/14-11-1998 Caterina di Heilbronn o La prova del fuoco (57200)
57201,Caterina di Heilbronn o La prova del fuoco,,Caterina di Heilbronn o La prova del fuoco,1998-11-15,1998-11-15,15/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/15-11-1998 Caterina di Heilbronn o La prova del fuoco (57201)
57202,Plaza Suite,,Plaza Suite,1998-12-17,1998-12-17,17/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/17-12-1998 Plaza Suite (57202)
57203,Plaza Suite,,Plaza Suite,1998-12-18,1998-12-18,18/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/18-12-1998 Plaza Suite (57203)
57204,Plaza Suite,,Plaza Suite,1998-12-19,1998-12-19,19/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/19-12-1998 Plaza Suite (57204)
57205,Plaza Suite,,Plaza Suite,1998-12-20,1998-12-20,20/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/20-12-1998 Plaza Suite (57205)
57206,Plaza Suite,,Plaza Suite,1998-12-20,1998-12-20,20/12/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/20-12-1998 Plaza Suite (57206)
57207,La guerra,,La guerra,1998-11-19,1998-11-19,19/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/19-11-1998 La guerra (57207)
57208,La guerra,,La guerra,1998-11-20,1998-11-20,20/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/20-11-1998 La guerra (57208)
57209,La guerra,,La guerra,1998-11-21,1998-11-21,21/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/21-11-1998 La guerra (57209)
57210,La guerra,,La guerra,1998-11-22,1998-11-22,22/11/1998,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/22-11-1998 La guerra (57210)
57211,La donna del mare,,La donna del mare,1999-01-08,1999-01-08,08/01/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/08-01-1999 La donna del mare (57211)
57212,Falstaff,,Falstaff,2000-01-23,2000-01-23,23/01/2000,Reggio Emilia,187,Teatro Municipale Valli,8715,1893 Falstaff,69425,/Recite/23-01-2000 Falstaff (57212)
57213,Falstaff,,Falstaff,2000-01-25,2000-01-25,25/01/2000,Reggio Emilia,187,Teatro Municipale Valli,8715,1893 Falstaff,69425,/Recite/25-01-2000 Falstaff (57213)
57214,"05-12-1999 Cullberg Ballet.
La bella addormentata",,"Cullberg Ballet.
La bella addormentata",1999-12-05,1999-12-05,05/12/1999,Reggio Emilia,187,Teatro Municipale Valli,8715,,,"/Recite/05-12-1999 Cullberg Ballet.
La bella addormentata (57214)"
57215,Un'altra storia,,Un'altra storia,2000-01-14,2000-01-14,14/01/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/14-01-2000 Un'altra storia (57215)
57216,Un'altra storia,,Un'altra storia,2000-01-15,2000-01-15,15/01/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/15-01-2000 Un'altra storia (57216)
57217,Un'altra storia,,Un'altra storia,2000-01-16,2000-01-16,16/01/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/16-01-2000 Un'altra storia (57217)
57218,Sosta Palmizi-Raffaella Giordano,,Sosta Palmizi/Raffaella Giordano,2000-01-22,2000-01-22,22/01/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/22-01-2000 Sosta Palmizi-Raffaella Giordano (57218)
57219,Delirio a due... o a quanti se ne vuole,,Delirio a due... o a quanti se ne vuole,2000-02-02,2000-02-02,02/02/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/02-02-2000 Delirio a due... o a quanti se ne vuole (57219)
57220,Delirio a due... o a quanti se ne vuole,,Delirio a due... o a quanti se ne vuole,2000-02-03,2000-02-03,03/02/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/03-02-2000 Delirio a due... o a quanti se ne vuole (57220)
57221,Delirio a due... o a quanti se ne vuole,,Delirio a due... o a quanti se ne vuole,2000-02-04,2000-02-04,04/02/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/04-02-2000 Delirio a due... o a quanti se ne vuole (57221)
57222,"05-02-2000 Aterballetto.
Comoedia. Canto terzo",,"Aterballetto.
Comoedia. Canto terzo",2000-02-05,2000-02-05,05/02/2000,Reggio Emilia,187,Teatro Municipale Valli,8715,,,"/Recite/05-02-2000 Aterballetto.
Comoedia. Canto terzo (57222)"
57223,Pinocchia,,Pinocchia,2000-02-17,2000-02-17,17/02/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/17-02-2000 Pinocchia (57223)
57224,Pinocchia,,Pinocchia,2000-02-18,2000-02-18,18/02/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/18-02-2000 Pinocchia (57224)
57225,Pinocchia,,Pinocchia,2000-02-19,2000-02-19,19/02/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/19-02-2000 Pinocchia (57225)
57226,Pinocchia,,Pinocchia,2000-02-20,2000-02-20,20/02/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/20-02-2000 Pinocchia (57226)
57227,La traviata,,La traviata,1990-01-02,1990-01-02,02/01/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1853 La Traviata,69480,/Recite/02-01-1990 La traviata (57227)
57228,La traviata,,La traviata,1990-01-05,1990-01-05,05/01/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1853 La Traviata,69480,/Recite/05-01-1990 La traviata (57228)
57229,La traviata,,La traviata,1990-01-07,1990-01-07,07/01/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1853 La Traviata,69480,/Recite/07-01-1990 La traviata (57229)
57230,I Capuleti e i Montecchi,,I Capuleti e i Montecchi,1990-01-25,1990-01-25,25/01/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1830 I Capuleti e i Montecchi,69313,/Recite/25-01-1990 I Capuleti e i Montecchi (57230)
57231,Maria Stuarda,,Maria Stuarda,1990-02-08,1990-02-08,08/02/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1834 Maria Stuarda,69332,/Recite/08-02-1990 Maria Stuarda (57231)
57232,Rinaldo,,Rinaldo,1991-11-22,1991-11-22,22/11/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,"1711 Rinaldo, HWV 7a",69490,/Recite/22-11-1991 Rinaldo (57232)
57233,Il turco in Italia,,Il turco in Italia,1994-12-21,1994-12-21,21/12/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1814 Il turco in Italia,69430,/Recite/21-12-1994 Il turco in Italia (57233)
57234,L'idiota,,L'idiota,2000-03-10,2000-03-10,10/03/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/10-03-2000 L'idiota (57234)
57235,In treno all'opera: Pelléas et Mélisande,,In treno all'opera: Pelléas et Mélisande,2000-02-20,2000-02-20,20/02/2000,Bologna,119,Teatro Comunale,8654,1902 Pelléas et Mélisande,69492,/Recite/20-02-2000 In treno all'opera: Pelléas et Mélisande (57235)
57236,Il barbiere di Siviglia,,Il barbiere di Siviglia,1995-01-17,1995-01-17,17/01/1995,Reggio Emilia,187,Teatro Municipale Valli,8715,1816 Il barbiere di Siviglia,69389,/Recite/17-01-1995 Il barbiere di Siviglia (57236)
57237,Il barbiere di Siviglia,,Il barbiere di Siviglia,1995-01-19,1995-01-19,19/01/1995,Reggio Emilia,187,Teatro Municipale Valli,8715,1816 Il barbiere di Siviglia,69389,/Recite/19-01-1995 Il barbiere di Siviglia (57237)
57238,In treno all'opera: Macbeth,,In treno all'opera: Macbeth,1995-02-14,1995-02-14,14/02/1995,Bologna,119,Teatro Comunale,8654,1847 Macbeth,69505,/Recite/14-02-1995 In treno all'opera: Macbeth (57238)
57239,Candide,,Candide,1995-03-18,1995-03-18,18/03/1995,Reggio Emilia,187,Teatro Municipale Valli,8715,1956 Candide,69507,/Recite/18-03-1995 Candide (57239)
57240,Candide,,Candide,1995-03-20,1995-03-20,20/03/1995,Reggio Emilia,187,Teatro Municipale Valli,8715,1956 Candide,69507,/Recite/20-03-1995 Candide (57240)
57241,Candide,,Candide,1995-03-23,1995-03-23,23/03/1995,Reggio Emilia,187,Teatro Municipale Valli,8715,1956 Candide,69507,/Recite/23-03-1995 Candide (57241)
57242,Carmen,,Carmen,1995-03-29,1995-03-29,29/03/1995,Reggio Emilia,1911,Teatro Municipale Valli,8715,1875 Carmen,69318,/Recite/29-03-1995 Carmen (57242)
57243,El retablo de Maese Pedro - Il cordovano: El retablo de Maese Pedro,,El retablo de Maese Pedro / Il cordovano: El retablo de Maese Pedro,1995-04-28,1995-04-28,28/04/1995,Reggio Emilia,187,Teatro Municipale Valli,8715,1923 El retablo de Maese Pedro - Il teatrino di Mastro Pedro,69513,/Recite/28-04-1995 El retablo de Maese Pedro - Il cordovano: El retablo de Maese Pedro (57243)
57244,Stazioni di transito. Album di storie,,Stazioni di transito. Album di storie,2000-03-19,2000-03-19,19/03/2000,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/19-03-2000 Stazioni di transito. Album di storie (57244)
57245,Stazioni di transito. Album di storie,,Stazioni di transito. Album di storie,2000-03-20,2000-03-20,20/03/2000,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/20-03-2000 Stazioni di transito. Album di storie (57245)
57246,Café chantant,,Café chantant,2000-03-15,2000-03-15,15/03/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/15-03-2000 Café chantant (57246)
57247,Café chantant,,Café chantant,2000-03-16,2000-03-16,16/03/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/16-03-2000 Café chantant (57247)
57248,Café chantant,,Café chantant,2000-03-17,2000-03-17,17/03/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/17-03-2000 Café chantant (57248)
57249,L'idiota,,L'idiota,2000-03-11,2000-03-11,11/03/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/11-03-2000 L'idiota (57249)
57250,L'idiota,,L'idiota,2000-03-12,2000-03-12,12/03/2000,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/12-03-2000 L'idiota (57250)
57251,Lo straniero,,Lo straniero,2000-02-15,2000-02-15,15/02/2000,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/15-02-2000 Lo straniero (57251)
57252,Otello,,Otello,2000-03-07,2000-03-07,07/03/2000,Reggio Emilia,187,Teatro Municipale Valli,8715,1887 Otello,69424,/Recite/07-03-2000 Otello (57252)
57253,La cenerentola,,La cenerentola,1996-01-02,1996-01-02,02/01/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1817 La Cenerentola ossia la bontà in trionfo,69414,/Recite/02-01-1996 La cenerentola (57253)
57254,La cenerentola,,La cenerentola,1996-01-04,1996-01-04,04/01/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1817 La Cenerentola ossia la bontà in trionfo,69414,/Recite/04-01-1996 La cenerentola (57254)
57255,La cenerentola,,La cenerentola,1996-01-06,1996-01-06,06/01/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1817 La Cenerentola ossia la bontà in trionfo,69414,/Recite/06-01-1996 La cenerentola (57255)
57256,La fanciulla del West,,La fanciulla del West,1990-02-23,1990-02-23,23/02/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1910 La fanciulla del West,69370,/Recite/23-02-1990 La fanciulla del West (57256)
57257,La fanciulla del West,,La fanciulla del West,1990-02-25,1990-02-25,25/02/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1910 La fanciulla del West,69370,/Recite/25-02-1990 La fanciulla del West (57257)
57258,La fanciulla del West,,La fanciulla del West,1990-02-28,1990-02-28,28/02/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1910 La fanciulla del West,69370,/Recite/28-02-1990 La fanciulla del West (57258)
57259,I Capuleti e i Montecchi,,I Capuleti e i Montecchi,1990-01-28,1990-01-28,28/01/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1830 I Capuleti e i Montecchi,69313,/Recite/28-01-1990 I Capuleti e i Montecchi (57259)
57260,Maria Stuarda,,Maria Stuarda,1990-02-12,1990-02-12,12/02/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1834 Maria Stuarda,69332,/Recite/12-02-1990 Maria Stuarda (57260)
57261,Maria Stuarda,,Maria Stuarda,1990-02-14,1990-02-14,14/02/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1834 Maria Stuarda,69332,/Recite/14-02-1990 Maria Stuarda (57261)
57262,Il gallo d'oro,,Il gallo d'oro,1990-04-03,1990-04-03,03/04/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1905 Zolotoy petusok - Il gallo d'oro,69599,/Recite/03-04-1990 Il gallo d'oro (57262)
57263,Il gallo d'oro,,Il gallo d'oro,1990-04-04,1990-04-04,04/04/1990,Reggio Emilia,187,Teatro Municipale Valli,8715,1905 Zolotoy petusok - Il gallo d'oro,69599,/Recite/04-04-1990 Il gallo d'oro (57263)
57264,La Cenerentola,,La Cenerentola,1991-01-11,1991-01-11,11/01/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1817 La Cenerentola ossia la bontà in trionfo,69414,/Recite/11-01-1991 La Cenerentola (57264)
57265,La Cenerentola,,La Cenerentola,1991-01-12,1991-01-12,12/01/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1817 La Cenerentola ossia la bontà in trionfo,69414,/Recite/12-01-1991 La Cenerentola (57265)
57266,La Cenerentola,,La Cenerentola,1991-01-13,1991-01-13,13/01/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1817 La Cenerentola ossia la bontà in trionfo,69414,/Recite/13-01-1991 La Cenerentola (57266)
57267,La bohème,,La bohème,1996-01-14,1996-01-14,14/01/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1895 La bohème,69366,/Recite/14-01-1996 La bohème (57267)
57268,La bohème,,La bohème,1996-01-18,1996-01-18,18/01/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1895 La bohème,69366,/Recite/18-01-1996 La bohème (57268)
57269,In treno all'opera: Madama Butterfly,,In treno all'opera: Madama Butterfly,1996-03-27,1996-03-27,27/03/1996,Bologna,119,Teatro Comunale,8654,1904 Madama Butterfly,69371,/Recite/27-03-1996 In treno all'opera: Madama Butterfly (57269)
57270,Simon Boccanegra,,Simon Boccanegra,1996-04-28,1996-04-28,28/04/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1857 Simon Boccanegra,69611,/Recite/28-04-1996 Simon Boccanegra (57270)
57271,Simon Boccanegra,,Simon Boccanegra,1996-04-30,1996-04-30,30/04/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1857 Simon Boccanegra,69611,/Recite/30-04-1996 Simon Boccanegra (57271)
57272,Norma,,Norma,1996-11-24,1996-11-24,24/11/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1831 Norma,69314,/Recite/24-11-1996 Norma (57272)
57273,Norma,,Norma,1996-11-26,1996-11-26,26/11/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1831 Norma,69314,/Recite/26-11-1996 Norma (57273)
57274,Norma,,Norma,1996-11-28,1996-11-28,28/11/1996,Reggio Emilia,187,Teatro Municipale Valli,8715,1831 Norma,69314,/Recite/28-11-1996 Norma (57274)
57275,Le nozze di Figaro,,Le nozze di Figaro,1997-02-19,1997-02-19,19/02/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,"1785 - 1786 Le nozze di Figaro, K 492",69355,/Recite/19-02-1997 Le nozze di Figaro (57275)
57276,Le nozze di Figaro,,Le nozze di Figaro,1997-02-20,1997-02-20,20/02/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,"1785 - 1786 Le nozze di Figaro, K 492",69355,/Recite/20-02-1997 Le nozze di Figaro (57276)
57277,Les Martyrs,,Les Martyrs,1997-03-15,1997-03-15,15/03/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1840 Les Martyrs,69612,/Recite/15-03-1997 Les Martyrs (57277)
57278,Les Martyrs,,Les Martyrs,1997-03-17,1997-03-17,17/03/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1840 Les Martyrs,69612,/Recite/17-03-1997 Les Martyrs (57278)
57279,Les Martyrs,,Les Martyrs,1997-03-19,1997-03-19,19/03/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1840 Les Martyrs,69612,/Recite/19-03-1997 Les Martyrs (57279)
57280,Saffo,,Saffo,1997-11-24,1997-11-24,24/11/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1840 Saffo,69363,/Recite/24-11-1997 Saffo (57280)
57281,Don Pasquale,,Don Pasquale,1991-02-15,1991-02-15,15/02/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1843 Don Pasquale,69327,/Recite/15-02-1991 Don Pasquale (57281)
57282,Don Pasquale,,Don Pasquale,1991-02-17,1991-02-17,17/02/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1843 Don Pasquale,69327,/Recite/17-02-1991 Don Pasquale (57282)
57283,Don Pasquale,,Don Pasquale,1991-02-19,1991-02-19,19/02/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1843 Don Pasquale,69327,/Recite/19-02-1991 Don Pasquale (57283)
57284,Don Pasquale,,Don Pasquale,1991-02-21,1991-02-21,21/02/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1843 Don Pasquale,69327,/Recite/21-02-1991 Don Pasquale (57284)
57285,Rigoletto,,Rigoletto,1998-02-08,1998-02-08,08/02/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,1851 Rigoletto (La Maledizione),69627,/Recite/08-02-1998 Rigoletto (57285)
57286,Rigoletto,,Rigoletto,1998-02-10,1998-02-10,10/02/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,1851 Rigoletto (La Maledizione),69627,/Recite/10-02-1998 Rigoletto (57286)
57287,Saffo,,Saffo,1997-11-26,1997-11-26,26/11/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1840 Saffo,69363,/Recite/26-11-1997 Saffo (57287)
57288,Saffo,,Saffo,1997-11-28,1997-11-28,28/11/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1840 Saffo,69363,/Recite/28-11-1997 Saffo (57288)
57289,I Capuleti e i Montecchi,,I Capuleti e i Montecchi,1998-03-20,1998-03-20,20/03/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,1830 I Capuleti e i Montecchi,69313,/Recite/20-03-1998 I Capuleti e i Montecchi (57289)
57290,I Capuleti e i Montecchi,,I Capuleti e i Montecchi,1998-03-22,1998-03-22,22/03/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,1830 I Capuleti e i Montecchi,69313,/Recite/22-03-1998 I Capuleti e i Montecchi (57290)
57291,I Capuleti e i Montecchi,,I Capuleti e i Montecchi,1998-03-24,1998-03-24,24/03/1998,Reggio Emilia,187,Teatro Municipale Valli,8715,1830 I Capuleti e i Montecchi,69313,/Recite/24-03-1998 I Capuleti e i Montecchi (57291)
57292,Evgenij Onegin',,Evgenij Onegin',1991-04-09,1991-04-09,09/04/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1879 Evgenij Onegin',69321,/Recite/09-04-1991 Evgenij Onegin' (57292)
57293,Evgenij Onegin',,Evgenij Onegin',1991-04-11,1991-04-11,11/04/1991,Reggio Emilia,187,Teatro Municipale Valli,8715,1879 Evgenij Onegin',69321,/Recite/11-04-1991 Evgenij Onegin' (57293)
57294,L'italiana in Algeri,,L'italiana in Algeri,1994-02-25,1994-02-25,25/02/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1813 L'Italiana in Algeri,69419,/Recite/25-02-1994 L'italiana in Algeri (57294)
57295,L'italiana in Algeri,,L'italiana in Algeri,1994-02-27,1994-02-27,27/02/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1813 L'Italiana in Algeri,69419,/Recite/27-02-1994 L'italiana in Algeri (57295)
57296,Parade - La voix humaine: Parade,,Parade / La voix humaine: Parade,1994-03-13,1994-03-13,13/03/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/13-03-1994 Parade - La voix humaine: Parade (57296)
57297,Parade - La voix humaine: Parade,,Parade / La voix humaine: Parade,1994-03-15,1994-03-15,15/03/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/15-03-1994 Parade - La voix humaine: Parade (57297)
57298,Tosca,,Tosca,1994-04-04,1994-04-04,04/04/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1900 Tosca,69374,/Recite/04-04-1994 Tosca (57298)
57299,In treno all'opera: Werther,,In treno all'opera: Werther,1991-12-07,1991-12-07,07/12/1991,Bologna,119,Teatro Comunale,8654,1885 - 1887 Werther,69348,/Recite/07-12-1991 In treno all'opera: Werther (57299)
57300,Tosca,,Tosca,1994-04-06,1994-04-06,06/04/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1900 Tosca,69374,/Recite/06-04-1994 Tosca (57300)
57301,Tosca,,Tosca,1994-04-08,1994-04-08,08/04/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1900 Tosca,69374,/Recite/08-04-1994 Tosca (57301)
57302,Tosca,,Tosca,1994-04-10,1994-04-10,10/04/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1900 Tosca,69374,/Recite/10-04-1994 Tosca (57302)
57303,Barbe-bleue,,Barbe-bleue,1994-01-14,1994-01-14,14/01/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1866 Barbe-bleue,69631,/Recite/14-01-1994 Barbe-bleue (57303)
57304,Barbe-bleue,,Barbe-bleue,1994-01-16,1994-01-16,16/01/1994,Reggio Emilia,187,Teatro Municipale Valli,8715,1866 Barbe-bleue,69631,/Recite/16-01-1994 Barbe-bleue (57304)
